Strike Price,CALL_LTP,PUT_LTP,GAMMA_CALL,GAMMA_PUT,IV_CALL,IV_PUT,VOLUME_CALL,VOLUME_PUT,DELTA_CALL,DELTA_PUT,THETA_CALL,THETA_PUT,RHO_CALL,RHO_PUT,Underlying LTP,CALL_OPEN_INTEREST,PUT_OPEN_INTEREST,Days to Expiry,Vega_Call,Vega_Put
16500,1200,2.3,NaN,0.00005460805680515327,NaN,0.22912996760981766,0,950,NaN,-0.01175273477813406,NaN,-1.199195856436385,0,0,17702.1,250,501850,7,NaN,0.7519576319067012
16550,1170.4,2.2,0.00004249656350237129,0.000057030632617263764,0.2051997572400015,0.219338128495973,0,0,0.9919749730777865,-0.011749109040328564,-3.1736638625736724,-1.1463153087913063,0,0,17702.1,0,26200,7,0.5240653062759602,0.7517563023337936
16600,1141.95,2.3,0.0001644250595299995,0.0000626577040420196,0.3174718877226271,0.2121562199492045,0,650,0.9339692180971579,-0.012602992075088653,-9.371335194166036,-1.1768961820056476,0,0,17702.1,100,370100,7,3.137097648667786,0.7988863504317333
16650,1102.8,2.45,0.00019157485355120077,0.00006969201982169317,0.3364382028029321,0.2054314030842761,0,0,0.9129898895716947,-0.013732813500697176,-11.5176805255927,-1.2257835053349306,0,0,17702.1,0,28300,7,3.8734554174990934,0.8604083945838342
16700,1027.95,2.6,0.00013500503113026595,0.00007754728129132288,0.24097892104578916,0.1985064037695289,0,600,0.9633707065449367,-0.014939187309356566,-5.721656965158944,-1.271755684266818,0,0,17702.1,450,424000,7,1.955166574632373,0.925115278015427
16800,895,2.9,NaN,0.0000963442846302341,NaN,0.1840946579397043,0,0,NaN,-0.01762591450810717,NaN,-1.3545104233280776,0,0,17702.1,1450,447600,7,NaN,1.0659133408102195
17000,709,4.25,NaN,0.00016720291663696872,NaN,0.15817971349035861,0,150,NaN,-0.028308681227318038,NaN,-1.7202474046950267,0,0,17702.1,37350,1185500,7,NaN,1.5894592149930484
17050,647.3,4.75,NaN,0.000194891864293103,NaN,0.151709311545659,0,50,NaN,-0.03238443292220151,NaN,-1.8390294823856475,0,0,17702.1,1300,130650,7,NaN,1.7768906521129766
