Strike Price,CALL_LTP,PUT_LTP,GAMMA_CALL,GAMMA_PUT,IV_CALL,IV_PUT,VOLUME_CALL,VOLUME_PUT,DELTA_CALL,DELTA_PUT,THETA_CALL,THETA_PUT,RHO_CALL,RHO_PUT,Underlying LTP,CALL_OPEN_INTEREST,PUT_OPEN_INTEREST,Days to Expiry,Vega_Call,Vega_Put
18800,808.85,0,NaN,0.0000000000000000000000000000000000000000000023017459357996684,NaN,0.04043164849335787,0,0,NaN,0,NaN,-0.000000000000000000000000000000000000000001979636338091509,0,0,19597.65,0,0,2,NaN,0.0000000000000000000000000000000000000000019585017300659654
18850,753.5,0,0.000034305433012432284,0.000000000000000007010693917986322,0.19469857314363223,0.0641861922538088,0,0,0.9967313752667276,0,-3.461498877444633,-0.0000000000000151960028397418,0,0,19597.65,4050,0,2,0.14056292953219707,0.000000000000009469951281517296
18900,704,0,0.00007149500551367919,0.00000000000000000608565761107408,0.20442949560225018,0.05965915825412341,0,0,0.9922254281680024,0,-4.345265917612197,-0.000000000000011395854402622198,0,0,19597.65,10600,0,2,0.3075844577021135,0.000000000000007640640422099527
18950,662.85,0,0.00026347364155679685,0.000000000000000152803957545769,0.28689300094784703,0.058125098901742805,0,0,0.9459176539756564,-0.0000000000000015542015202867401,-14.054769985071166,-0.00000000000026690051724365175,0,0,19597.65,0,0,2,1.5907511759433166,0.00000000000018691468918144004
19000,600.9,0,NaN,0.000000000000000003530087016946529,NaN,0.05052112912979385,0,0,NaN,0,NaN,-0.0000000000000047404180364467916,0,0,19597.65,228150,0,2,NaN,0.000000000000003753216223072278
19050,551.45,0,NaN,0.000000000000000047043327107373445,NaN,0.04805246851199632,0,0,NaN,0,NaN,-0.00000000000005714978083338474,0,0,19597.65,9350,0,2,NaN,0.00000000000004757281580164173
19100,504.45,0,0.00015211511472004838,0.00000000000000005460146539752748,0.16006876507023693,0.04369011856699724,50,0,0.9860942652370693,0,-4.842796005233175,-0.000000000000054834751465475153,0,0,19597.65,70900,0,2,0.5124176604963064,0.00000000000005020334415562459
19150,451,0,NaN,0.000000000000000000134700362835698,NaN,0.03600308885700299,0,0,NaN,0,NaN,-0.00000000000000009186147711550242,0,0,19597.65,44450,0,2,NaN,0.00000000000000010205955103503223
19200,405.9,0,0.00031360794537975797,0.000000000000000020991192760844874,0.14993949146573332,0.03429161414003084,450,0,0.969836642280982,0,-6.472301046095551,-0.000000000000012986679049384603,0,0,19597.65,125300,0,2,0.9895738637828035,0.000000000000015148518814370312
19250,355.35,0,0.0003404833433812871,0.00000000000000000006516229345794032,0.12854255603427822,0.027637843255223178,0,0,0.9723248739084001,0,-5.739410617200537,-0.000000000000000026187243988170472,0,0,19597.65,40950,0,2,0.9210600125295113,0.00000000000000003790056083080425
19300,308.5,0,0.0006033751112243927,0.00000000000000000991213083129376,0.13596609630213355,0.02533113117292443,3050,0,0.9399989751722566,0,-8.562186811939894,-0.000000000000003346272679735354,0,0,19597.65,315650,0,2,1.7264863389787013,0.00000000000000528404777013996
19350,261.3,0,0.0008480553046010548,0.000000000000000000005501201501997361,0.1311663079372413,0.019093892855428778,2100,0,0.9106875236308142,0,-10.292888115240768,-0.0000000000000000010551923880145774,0,0,19597.65,191350,0,2,2.340947073641395,0.0000000000000000022105337994804247
