Strike Price,CALL_LTP,PUT_LTP,GAMMA_CALL,GAMMA_PUT,IV_CALL,IV_PUT,VOLUME_CALL,VOLUME_PUT,DELTA_CALL,DELTA_PUT,THETA_CALL,THETA_PUT,RHO_CALL,RHO_PUT,Underlying LTP,CALL_OPEN_INTEREST,PUT_OPEN_INTEREST,Days to Expiry,Vega_Call,Vega_Put
18800,923.2,2.05,0.00017488862395470236,0.00008210659102806975,0.31530259987979853,0.23804240852719574,200,33300,0.9526846389690687,-0.013649128158453561,-11.878935552458705,-2.433816970708364,0,0,19703.75,456750,4027950,3,1.75960537481078,0.6236752708438329
18850,905.5,2.1,0.00026069111520240574,0.00009085145542571445,0.4202927548347479,0.22723331993412246,0,32250,0.8835343133645988,-0.014544189850269722,-26.92287325881977,-2.451708397801344,0,0,19703.75,23000,489850,3,3.4962646636392707,0.6587643218436824
18900,820,2.4,0.0001815121621172242,0.00010678127317445996,0.2677283739612114,0.2197710349056188,0,25100,0.9595290562179798,-0.01688764857085077,-9.59077082464938,-2.692777535466489,0,0,19703.75,398450,2984600,3,1.5506946827540737,0.7488446224420067
18950,780,2.7,0.00025718940075152214,0.00012483990498643712,0.3025571743095983,0.2116004782397765,0,18000,0.9266562755247562,-0.01940328618910246,-15.103149904227653,-2.9151871573968475,0,0,19703.75,54450,569850,3,2.483057001576053,0.8429391826324124
19000,724.1,3.2,0.0002511425839354192,0.0001500582015185725,0.26160232950595863,0.20489004144913597,1000,215000,0.9410210138293263,-0.023216945024370213,-11.775317422165172,-3.2813457728393747,0,0,19703.75,1094900,8372000,3,2.0964674921728332,0.9810852687641669
19050,741.75,3.45,0.0003472690220751202,0.00017317210579050673,0.43099535514753107,0.1948738695527728,0,35700,0.8143966825082711,-0.02594208937935123,-36.566104913812765,-3.4205575496562077,0,0,19703.75,46500,551000,3,4.776005312807457,1.0768562036879332
19100,620,3.85,0.00026824433643067976,0.00020405997249826682,0.21161649872519073,0.18570769785887872,400,113800,0.9509430210336796,-0.029815836141904466,-9.0716631306554,-3.654332778716992,0,0,19703.75,260000,2880100,3,1.8113661734553181,1.209243878167528
19150,581,4.45,0.00038123415565711945,0.0002452797477568402,0.2424664444226406,0.1773643210457802,0,82150,0.9078424919071323,-0.035245233168276914,-14.483316562728458,-3.9991220437379127,0,0,19703.75,54650,1356550,3,2.9496440777030632,1.3882066453165276
19200,529,5.25,0.00041776662568615975,0.0002985021091930867,0.21939544428606997,0.1693530092778646,1950,314250,0.9088895842765153,-0.042378282491734344,-13.270768444300147,-4.427459527257252,0,0,19703.75,814600,5552250,3,2.924741685377148,1.6131193089146585
19250,475.55,5.95,0.00045166329469162206,0.0003598784089128192,0.19123674665614498,0.15966390364003372,0,140250,0.9158461359807771,-0.04970157088284146,-11.391347041612114,-4.731824600213967,0,0,19703.75,74100,1273550,3,2.756210052815632,1.8335328795459993
19300,431.1,7.65,0.0005511674206520493,0.0004543904393155326,0.19288161635914006,0.15374233769046122,2050,131750,0.8883588120625283,-0.06368400100597828,-13.439250052995865,-5.523260356854326,0,0,19703.75,474300,4396300,3,3.3923491355051896,2.2291989646514807
19350,383.55,10.05,0.0006458725945874741,0.000575217432374009,0.18239510476390997,0.14834634448760675,200,130600,0.8708683604158396,-0.08269925196001753,-13.918640843774268,-6.48709121487211,0,0,19703.75,78200,1858150,3,3.7591201137890904,2.722921089195601
19400,335.7,13.7,0.000760982847484019,0.0007276639742292912,0.16981094250635487,0.14425577176797416,5600,263550,0.8521161072796507,-0.10957745916191029,-14.11517705780623,-7.728350908225716,0,0,19703.75,758450,5031250,3,4.123506730412621,3.3495791150803336
19450,290.9,18.95,0.0009018980086624965,0.0009073643230457134,0.16261154321066187,0.14095693931048564,2100,202700,0.8203377639067582,-0.1455265030034961,-15.043074345892293,-9.156380257236213,0,0,19703.75,206250,2363050,3,4.679882689715289,4.081260608980997
