Strike Price,CALL_LTP,PUT_LTP,GAMMA_CALL,GAMMA_PUT,IV_CALL,IV_PUT,VOLUME_CALL,VOLUME_PUT,DELTA_CALL,DELTA_PUT,THETA_CALL,THETA_PUT,RHO_CALL,RHO_PUT,Underlying LTP,CALL_OPEN_INTEREST,PUT_OPEN_INTEREST,Days to Expiry,Vega_Call,Vega_Put
20700,1410,0,NaN,0.000000000000000000000000000000037543090485003647,NaN,0.07732954551925475,0,0,NaN,0,NaN,-0.00000000000000000000000000015029615678827709,0,0,22106.75,5200,0,2,NaN,0.00000000000000000000000000007774319933167276
20750,1203.85,0,NaN,0.00000000000000000000007902524260567333,NaN,0.09067562583947586,0,0,NaN,0,NaN,-0.0000000000000000004349846194034553,0,0,22106.75,0,0,2,NaN,0.00000000000000000019188601804569346
20800,1263,0,NaN,0.00000000000000000002022700577114631,NaN,0.09321527853114377,0,0,NaN,0,NaN,-0.0000000000000001176610558648415,0,0,22106.75,23250,0,2,NaN,0.00000000000000005049003026924617
20850,1103.25,0,NaN,0.00000000000000000000000180766392863066,NaN,0.0804084342495057,0,0,NaN,0,NaN,-0.000000000000000000007824342313182987,0,0,22106.75,0,0,2,NaN,0.000000000000000000003892299302286731
20900,1202.25,0,NaN,0.00000000000000000004118489854857875,NaN,0.08661510776212016,0,0,NaN,0,NaN,-0.00000000000000020684843545820185,0,0,22106.75,34900,0,2,NaN,0.00000000000000009552533769341518
20950,1000.15,0,NaN,0.00000000000000000014157467768117936,NaN,0.0842699680394626,0,0,NaN,0,NaN,-0.0000000000000006730668168130119,0,0,22106.75,0,0,2,NaN,0.00000000000000031948122562373486
21000,1100,0,NaN,0.00000000000000000000026007395272783133,NaN,0.07443301998100284,0,0,NaN,0,NaN,-0.0000000000000000009646173702385585,0,0,22106.75,269500,0,2,NaN,0.0000000000000000005183814229140524
21050,1036.85,0,NaN,0.000000000000000000000000000000000007612769556606764,NaN,0.054201570416943574,0,0,NaN,0,NaN,-0.000000000000000000000000000000014972466946548507,0,0,22106.75,1900,0,2,NaN,0.000000000000000000000000000000011049470951762734
21100,1013.85,0,0.00004307244880676204,0.000000000000000000033258549598500754,0.2555692138565862,0.07162065094322194,150,0,0.9935244801308247,0,-4.9754076127536,-0.00000000000000011421069473055236,0,0,22106.75,51700,0,2,0.2947779753559549,0.00000000000000006378646003711649
21150,960.35,0,NaN,0.00000000000000000001396767570921933,NaN,0.06721120644515573,0,0,NaN,0,NaN,-0.000000000000000042241026677799334,0,0,22106.75,11050,0,2,NaN,0.000000000000000025139275970157136
