Strike Price,CALL_LTP,PUT_LTP,GAMMA_CALL,GAMMA_PUT,IV_CALL,IV_PUT,VOLUME_CALL,VOLUME_PUT,DELTA_CALL,DELTA_PUT,THETA_CALL,THETA_PUT,RHO_CALL,RHO_PUT,Underlying LTP,CALL_OPEN_INTEREST,PUT_OPEN_INTEREST,Days to Expiry,Vega_Call,Vega_Put
19450,0,7.95,NaN,NaN,NaN,NaN,0,2285400,NaN,NaN,NaN,NaN,0,0,19551.85,0,12859350,0,NaN,NaN
19500,0,16.9,NaN,NaN,NaN,NaN,0,3458150,NaN,NaN,NaN,NaN,0,0,19551.85,0,19700600,0,NaN,NaN
19550,0,35.15,NaN,NaN,NaN,NaN,0,2975250,NaN,NaN,NaN,NaN,0,0,19551.85,0,14357750,0,NaN,NaN
19600,0,69.35,NaN,NaN,NaN,NaN,0,1486500,NaN,NaN,NaN,NaN,0,0,19551.85,0,8173300,0,NaN,NaN
19650,0,112.45,NaN,NaN,NaN,NaN,0,223400,NaN,NaN,NaN,NaN,0,0,19551.85,0,1981250,0,NaN,NaN
19700,0,159.6,NaN,NaN,NaN,NaN,0,122000,NaN,NaN,NaN,NaN,0,0,19551.85,0,1297750,0,NaN,NaN
19750,0,208.65,NaN,NaN,NaN,NaN,0,42100,NaN,NaN,NaN,NaN,0,0,19551.85,0,337850,0,NaN,NaN
19800,0,257.9,NaN,NaN,NaN,NaN,0,15950,NaN,NaN,NaN,NaN,0,0,19551.85,0,367350,0,NaN,NaN
19850,0,308.45,NaN,NaN,NaN,NaN,0,22100,NaN,NaN,NaN,NaN,0,0,19551.85,0,64750,0,NaN,NaN
19900,0,359.3,NaN,NaN,NaN,NaN,0,1800,NaN,NaN,NaN,NaN,0,0,19551.85,0,69750,0,NaN,NaN
19950,0,408.75,NaN,NaN,NaN,NaN,0,550,NaN,NaN,NaN,NaN,0,0,19551.85,0,22400,0,NaN,NaN
20000,0,458.2,NaN,NaN,NaN,NaN,0,450,NaN,NaN,NaN,NaN,0,0,19551.85,0,135950,0,NaN,NaN
20050,0,508.45,NaN,NaN,NaN,NaN,0,50,NaN,NaN,NaN,NaN,0,0,19551.85,0,16000,0,NaN,NaN
20100,0,555.7,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,19551.85,0,22150,0,NaN,NaN
20150,0,607.4,NaN,NaN,NaN,NaN,0,100,NaN,NaN,NaN,NaN,0,0,19551.85,0,12700,0,NaN,NaN
20200,0,637.9,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,19551.85,0,6950,0,NaN,NaN
