Strike Price,CALL_LTP,PUT_LTP,GAMMA_CALL,GAMMA_PUT,IV_CALL,IV_PUT,VOLUME_CALL,VOLUME_PUT,DELTA_CALL,DELTA_PUT,THETA_CALL,THETA_PUT,RHO_CALL,RHO_PUT,Underlying LTP,CALL_OPEN_INTEREST,PUT_OPEN_INTEREST,Days to Expiry,Vega_Call,Vega_Put
16850,735.55,0.55,NaN,NaN,NaN,NaN,0,14950,NaN,NaN,NaN,NaN,0,0,17583.9,15500,654950,0,NaN,NaN
16900,679.7,0.6,NaN,NaN,NaN,NaN,100,84200,NaN,NaN,NaN,NaN,0,0,17583.9,158450,3040850,0,NaN,NaN
16950,633.25,0.65,NaN,NaN,NaN,NaN,150,23800,NaN,NaN,NaN,NaN,0,0,17583.9,50700,1086450,0,NaN,NaN
17000,582.35,0.7,NaN,NaN,NaN,NaN,10700,116000,NaN,NaN,NaN,NaN,0,0,17583.9,1800100,9681500,0,NaN,NaN
17050,536.2,0.85,NaN,NaN,NaN,NaN,0,27300,NaN,NaN,NaN,NaN,0,0,17583.9,297050,1909100,0,NaN,NaN
